备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
夏季主题限定S近战武器造型,2024 电龙版本,1,放回式抽奖，含里程碑保底，保底期望约80$,近战武器皮肤,橙品（S/SP）,付费,2024/04/21,2024/04/28,,,永久,500,image.png,2024年年2季度,2024年,2024年4月,局内--高价值外显资源,4,橙品（S/SP）近战武器皮肤,
抽奖券,2024 电龙版本,3,击败5次巨龙,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/04/22,2024/05/06,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
B级道具散件造型,2024 电龙版本,1,日产出5道具，30兑换,角色皮肤散件,蓝品（A）,活跃,2024/04/22,2024/05/06,,,永久,200,image.png,2024年年2季度,2024年,2024年4月,局内--高价值外显资源,4,蓝品（A）角色皮肤散件,
局内头顶称号,2024 电龙版本,1,参与巨龙模式3局,称号,紫品（A+）,活跃,2024/04/22,2024/05/06,,,永久,,image.png,2024年年2季度,2024年,2024年4月,,4,紫品（A+）称号,
金币宝箱,2024 电龙版本,2,日产出5道具，1兑换,金币抽奖盒,其他,活跃,2024/04/22,2024/05/06,,,永久,0,image.png,2024年年2季度,2024年,2024年4月,,4,其他金币抽奖盒,
A级枪皮抽奖宝箱,2024 电龙版本,2,参与巨龙模式1局,武器抽奖宝箱,其他,活跃,2024/04/22,2024/05/06,,,永久,40,image.png,2024年年2季度,2024年,2024年4月,盲盒类资源,4,其他武器抽奖宝箱,
A级造型抽奖宝箱,2024 电龙版本,2,击败2次巨龙,皮肤抽奖宝箱,其他,活跃,2024/04/22,2024/05/06,,,永久,40,image.png,2024年年2季度,2024年,2024年4月,盲盒类资源,4,其他皮肤抽奖宝箱,
女团联动局内永久S级语音,2024 电龙版本,4,不放回抽奖，保底期望约为80$但是单个语音仅需要15$左右,语音包,橙品（S/SP）,付费,2024/04/22,2024/05/06,,,永久,,image.png,2024年年2季度,2024年,2024年4月,局外社交外显资源,4,橙品（S/SP）语音包,
B级造型抽奖宝箱,2024 电龙版本,5,日产出5道具，1兑换,皮肤抽奖宝箱,其他,活跃,2024/04/22,2024/05/06,,,永久,40,image.png,2024年年2季度,2024年,2024年4月,盲盒类资源,4,其他皮肤抽奖宝箱,
A级枪皮抽奖宝箱,2024 电龙版本,5,日产出5道具，1兑换,武器抽奖宝箱,其他,活跃,2024/04/22,2024/05/06,,,永久,40,image.png,2024年年2季度,2024年,2024年4月,盲盒类资源,4,其他武器抽奖宝箱,
A+近战特效造型,2024 电龙版本,1,全部保底需要50$,近战武器皮肤,紫品（A+）,付费,2024/04/23,2024/05/01,,,永久,400,image.png,2024年年2季度,2024年,2024年4月,局内--高价值外显资源,4,紫品（A+）近战武器皮肤,
钻石，返利50%,2024 电龙版本,0,累充50钻石,钻石,其他,付费,2024/04/24,2024/04/30,,,永久,1,image.png,2024年年2季度,2024年,2024年4月,,4,其他钻石,
S级角色动作,2024 电龙版本,1,期望保底需要80$,动作,橙品（S/SP）,付费,2024/04/24,2024/05/08,,,永久,500,image.png,2024年年2季度,2024年,2024年4月,局内--高价值外显资源,4,橙品（S/SP）动作,
S级角色动作,2024 电龙版本,1,抽奖上新，期望保底需要60$,动作,橙品（S/SP）,付费,2024/04/24,2024/05/08,,,永久,500,image.png,2024年年2季度,2024年,2024年4月,局内--高价值外显资源,4,橙品（S/SP）动作,
A级造型套装,2024 电龙版本,1,2月一次的金币抽奖更新,角色完整皮肤,紫品（A+）,付费,2024/04/26,2024/06/25,,,永久,1000,image.png,2024年年2季度,2024年,2024年4月,局内--高价值外显资源,4,紫品（A+）角色完整皮肤,
抽奖券,2024 电龙版本,2,吃鸡3次,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/04/27,2024/04/29,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（蓝色）常驻抽奖池2--抽奖券,
抽奖券,2024 电龙版本,3,吃鸡7次,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/04/27,2024/04/29,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
抽奖券,2024 电龙版本,20,累充200钻石,（橙色）常驻3合1抽奖池--抽奖券,其他,付费,2024/04/27,2024/05/04,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
限定A级载具,2024 电龙版本,1,累充100钻石,载具,紫品（A+）,付费,2024/04/27,2024/05/04,,,永久,400,image.png,2024年年2季度,2024年,2024年4月,局内--中低价值外显资源,4,紫品（A+）载具,
A级枪皮抽奖宝箱,2024 电龙版本,2,吃鸡1次,武器抽奖宝箱,其他,活跃,2024/04/27,2024/04/29,,,永久,40,image.png,2024年年2季度,2024年,2024年4月,盲盒类资源,4,其他武器抽奖宝箱,
钻石,2024 电龙版本,12,累充24钻石,钻石,其他,付费,2024/04/27,2024/05/04,,,永久,1,image.png,2024年年2季度,2024年,2024年4月,,4,其他钻石,
抽奖券,2024 电龙版本,2,日产出10道具，10可领,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/04/29,2024/05/03,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
抽奖券,2024 电龙版本,2,日产出10道具，20可领,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/04/29,2024/05/03,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
抽奖券,2024 电龙版本,2,日产出10道具，30可领,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/04/29,2024/05/03,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
抽奖券,2024 电龙版本,2,日产出10道具，40可领,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/04/29,2024/05/03,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
抽奖券,2024 电龙版本,2,日产出10道具，50可领,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/04/29,2024/05/03,,,限时,40,image.png,2024年年2季度,2024年,2024年4月,抽奖券类资源,4,其他（橙色）常驻3合1抽奖池--抽奖券,
全新S级双形态造型,2024 电龙版本,1,放回式抽奖，含兑换保底，期望保底为80$,角色完整皮肤,橙品（S/SP）,付费,2024/04/29,2024/05/06,,,永久,2000,image.png,2024年年2季度,2024年,2024年4月,局内--高价值外显资源,4,橙品（S/SP）角色完整皮肤,
钻石，返利75%,2024 电龙版本,0,累充50钻石,钻石,其他,付费,2024/05/01,2024/05/07,,,永久,1,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石,
全新特效S级枪皮套装,2024 电龙版本,1,放回抽奖，保底期望值为80美金,枪械皮肤,橙品（S/SP）,付费,2024/05/03,2024/05/16,,,永久,2000,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）枪械皮肤,
A级限时枪皮胚子,2024 电龙版本,1,开黑4局,枪械皮肤,蓝品（A）,活跃,2024/05/04,2024/05/06,2024/05/04,2024/05/10,限时,,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,蓝品（A）枪械皮肤,
A级限时枪皮胚子,2024 电龙版本,1,开黑4局,枪械皮肤,蓝品（A）,活跃,2024/05/04,2024/05/06,2024/05/04,2024/05/10,限时,,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,蓝品（A）枪械皮肤,
抽奖券,2024 电龙版本,2,登录1天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/05/04,2024/05/06,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（橙色）常驻3合1抽奖池--抽奖券,
抽奖券,2024 电龙版本,2,登录1天,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/05/04,2024/05/06,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（橙色）常驻3合1抽奖池--抽奖券,
A级载具造型,2024 电龙版本,1,开黑8局,载具,紫品（A+）,活跃,2024/05/04,2024/05/06,,,永久,400,image.png,2024年年2季度,2024年,2024年5月,局内--中低价值外显资源,5,紫品（A+）载具,
S级本期主题抽奖头像,2024 电龙版本,1,累充70钻石,头像,橙品（S/SP）,付费,2024/05/04,2024/05/11,,,永久,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,橙品（S/SP）头像,
S级本期主题抽奖名片栏,2024 电龙版本,1,累充70钻石,背景卡（名片）,橙品（S/SP）,付费,2024/05/04,2024/05/11,,,永久,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,橙品（S/SP）背景卡（名片）,
A级载具造型,2024 电龙版本,1,开黑8局,载具,紫品（A+）,活跃,2024/05/04,2024/05/06,,,永久,400,image.png,2024年年2季度,2024年,2024年5月,局内--中低价值外显资源,5,紫品（A+）载具,
A级枪皮抽奖宝箱,2024 电龙版本,2,开黑1局,武器抽奖宝箱,其他,活跃,2024/05/04,2024/05/06,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
钻石抽奖宝箱,2024 电龙版本,2,累充140钻石,钻石抽奖盒,其他,付费,2024/05/04,2024/05/11,,,永久,25,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石抽奖盒,
A级枪皮抽奖宝箱,2024 电龙版本,2,开黑1局,武器抽奖宝箱,其他,活跃,2024/05/04,2024/05/06,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
钻石,2024 电龙版本,12,累充24钻石,钻石,其他,付费,2024/05/04,2024/05/11,,,永久,1,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石,
金币抽奖券*3,2024 Mabar主题版本,3,1场,（黄色）常驻抽奖池1--抽奖券,其他,活跃,2024/05/06,2024/05/19,,,限时,0,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（黄色）常驻抽奖池1--抽奖券,
武器抽奖券*8,2024 Mabar主题版本,8,游玩25场吃鸡排位,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/05/06,2024/05/19,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（橙色）常驻3合1抽奖池--抽奖券,
A级头像*1,2024 Mabar主题版本,1,6场,头像,蓝品（A）,活跃,2024/05/06,2024/05/19,,,永久,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,蓝品（A）头像,
A级名片栏*1,2024 Mabar主题版本,1,6场,背景卡（名片）,蓝品（A）,活跃,2024/05/06,2024/05/19,,,永久,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,蓝品（A）背景卡（名片）,
A级造型套装抽奖宝箱*2,2024 Mabar主题版本,2,3场,皮肤抽奖宝箱,其他,活跃,2024/05/06,2024/05/19,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
A级枪皮抽奖宝箱*2,2024 Mabar主题版本,2,游玩25场吃鸡排位,武器抽奖宝箱,其他,活跃,2024/05/06,2024/05/19,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
B级造型套装抽奖宝箱*2,2024 Mabar主题版本,2,游玩25场吃鸡排位,皮肤抽奖宝箱,其他,活跃,2024/05/06,2024/05/19,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
钻石，返利100%,2024 Mabar主题版本,0,累充50钻石,钻石,其他,付费,2024/05/08,2024/05/14,,,永久,1,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石,
抽奖券*5,2024 Mabar主题版本,5,组队后可以完成对局任务,当期限时抽奖活动--抽奖券,其他,活跃,2024/05/09,2024/05/16,,,限时,8,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他当期限时抽奖活动--抽奖券,
限定抽奖券*5,2024 Mabar主题版本,5,50钻石,（蓝色）常驻抽奖池2--抽奖券,其他,付费,2024/05/09,2024/05/16,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
A级面饰*1,2024 Mabar主题版本,1,100钻石,角色皮肤散件,蓝品（A）,付费,2024/05/09,2024/05/16,,,永久,200,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,蓝品（A）角色皮肤散件,
A+级载具造型*1,2024 Mabar主题版本,1,组队后可以完成对局任务,载具,紫品（A+）,活跃,2024/05/09,2024/05/16,,,永久,400,image.png,2024年年2季度,2024年,2024年5月,局内--中低价值外显资源,5,紫品（A+）载具,
A级头像*1,2024 Mabar主题版本,1,组队后可以完成对局任务,头像,绿品（B）,活跃,2024/05/09,2024/05/16,,,永久,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,绿品（B）头像,
排位保护卡*1,2024 Mabar主题版本,1,组队后可以完成对局任务,排位保护卡,其他,活跃,2024/05/09,2024/05/16,,,永久,,image.png,2024年年2季度,2024年,2024年5月,,5,其他排位保护卡,
都市休闲造型*5,2024 Mabar主题版本,5,本期单个保底期望值为15$共计5件保底,角色皮肤散件,紫品（A+）,付费,2024/05/09,2024/05/23,,,永久,400,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,紫品（A+）角色皮肤散件,
钻石*12,2024 Mabar主题版本,12,充值24钻石,钻石,其他,付费,2024/05/09,2024/05/16,,,永久,1,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石,
武器抽奖券*4,2024 Mabar主题版本,4,120分钟,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/05/11,2024/05/12,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（橙色）常驻3合1抽奖池--抽奖券,
钻石抽奖券*5,2024 Mabar主题版本,5,登录,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/05/11,2024/05/12,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
A级造型套装抽奖宝箱*2,2024 Mabar主题版本,2,30分钟,皮肤抽奖宝箱,其他,活跃,2024/05/11,2024/05/12,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
A级枪皮抽奖宝箱*2,2024 Mabar主题版本,2,75分钟,皮肤抽奖宝箱,其他,活跃,2024/05/11,2024/05/12,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
钻石*300,2024 Mabar主题版本,300,每充值50钻石返50钻石，上限为300钻石（3$）,钻石,其他,付费,2024/05/11,2024/05/18,,,永久,1,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石,
B级角色动作*1,2024 Mabar主题版本,1,常规收集兑换，每日产出道具*9，30个兑换,动作,绿品（B）,活跃,2024/05/13,2024/05/20,,,永久,,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,绿品（B）动作,
A级枪皮抽奖宝箱*2,2024 Mabar主题版本,2,常规收集兑换，每日产出道具*9，30个兑换,武器抽奖宝箱,其他,活跃,2024/05/13,2024/05/20,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
A级角色造型抽奖宝箱*2,2024 Mabar主题版本,2,常规收集兑换，每日产出道具*9，30个兑换,皮肤抽奖宝箱,其他,活跃,2024/05/13,2024/05/20,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
钻石，返利125%,2024 Mabar主题版本,0,累充50钻石,钻石,其他,付费,2024/05/15,2024/05/21,,,永久,1,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石,
角色动作*1,2024 Mabar主题版本,1,全新主题代币放回式抽奖，含兑换保底，allin需要200美金左右,动作,橙品（S/SP）,付费,2024/05/15,2024/06/15,,,永久,500,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）动作,
S级枪皮*1,2024 Mabar主题版本,1,全新主题代币放回式抽奖，含兑换保底，allin需要200美金左右,枪械皮肤,橙品（S/SP）,付费,2024/05/15,2024/06/15,,,永久,2000,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）枪械皮肤,
橙色枪皮*1,2024 Mabar主题版本,1,全新代币放回式抽奖，含兑换保底，期望值为75$,枪械皮肤,橙品（S/SP）,付费,2024/05/15,2024/05/31,,,永久,2000,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）枪械皮肤,
散件造型小资源*4,2024 Mabar主题版本,4,全新主题代币放回式抽奖，含兑换保底，allin需要200美金左右,角色皮肤散件,橙品（S/SP）,付费,2024/05/15,2024/06/15,,,永久,800,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）角色皮肤散件,
红色枪皮*1,2024 Mabar主题版本,1,全新代币放回式抽奖，含兑换保底，期望值为100$,枪械皮肤,红品（S+）,付费,2024/05/17,2024/05/31,,,永久,2400,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,红品（S+）枪械皮肤,
钻石抽奖券*2,2024 Mabar主题版本,2,登录,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/05/18,2024/05/19,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
金币抽奖券*3,2024 Mabar主题版本,3,爆头2名敌人,（黄色）常驻抽奖池1--抽奖券,其他,活跃,2024/05/18,2024/05/19,,,限时,0,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（黄色）常驻抽奖池1--抽奖券,
武器抽奖券*3,2024 Mabar主题版本,3,爆头10名敌人,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/05/18,2024/05/19,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（橙色）常驻3合1抽奖池--抽奖券,
B级造型套装抽奖宝箱*2,2024 Mabar主题版本,2,爆头5名敌人,皮肤抽奖宝箱,其他,活跃,2024/05/18,2024/05/19,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
限时S级角色动作*1,2024 Paradox主题版本,1,常规收集兑换，每日产出道具*10，30道具兑换,动作,橙品（S/SP）,活跃,2024/05/20,2024/05/27,2024/05/20,2024/05/27,限时,,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）动作,
限时A级角色动作*1,2024 Paradox主题版本,1,常规收集兑换，每日产出道具*10，30道具兑换,动作,蓝品（A）,活跃,2024/05/20,2024/05/27,2024/05/20,2024/05/27,限时,,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,蓝品（A）动作,
钻石抽奖券*1,2024 Paradox主题版本,1,主题活动完成每日任务可获得里程碑点数，累计点数获得奖励,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/05/20,2024/06/02,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
新英雄3天体验卡*1,2024 Paradox主题版本,1,登录,英雄,其他,活跃,2024/05/20,2024/06/03,,,限时,,image.png,2024年年2季度,2024年,2024年5月,,5,其他英雄,
限定限时语音*2,2024 Paradox主题版本,2,,语音包,紫品（A+）,活跃,2024/05/20,2024/06/02,2024/05/20,2024/06/02,限时,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,紫品（A+）语音包,
钻石抽奖券*2,2024 Paradox主题版本,2,使用新英雄进行任意两次对局,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/05/20,2024/06/03,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
主题UP三形态S+造型套装*1,2024 Paradox主题版本,1,全新主题代币放回式抽奖，含兑换保底，保底需要150美金左右,角色完整皮肤,红品（S+）,付费,2024/05/20,2024/06/13,,,永久,2800,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,红品（S+）角色完整皮肤,
A级动作*1,2024 Paradox主题版本,1,,动作,蓝品（A）,活跃,2024/05/20,2024/06/02,,,永久,300,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,蓝品（A）动作,
新英雄*1,2024 Paradox主题版本,1,,英雄,其他,活跃,2024/05/20,2024/06/02,,,永久,0,image.png,2024年年2季度,2024年,2024年5月,,5,其他英雄,
A级枪皮抽奖宝箱*3,2024 Paradox主题版本,3,常规收集兑换，每日产出道具*10，30道具兑换,武器抽奖宝箱,其他,活跃,2024/05/20,2024/05/27,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
A级角色造型抽奖宝箱*3,2024 Paradox主题版本,3,常规收集兑换，每日产出道具*10，30道具兑换,皮肤抽奖宝箱,其他,活跃,2024/05/20,2024/05/27,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
A级造型套装抽奖宝箱*8,2024 Paradox主题版本,8,参与对战即可获得抽奖宝箱，每日可获得1个A级造型套装抽奖宝箱,皮肤抽奖宝箱,其他,活跃,2024/05/20,2024/05/27,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
S 级墙皮*1,2024 Paradox主题版本,1,,墙皮,橙品（S/SP）,付费,2024/05/21,2024/05/30,,,永久,500,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）墙皮,
S级近战武器*1,2024 Paradox主题版本,1,,近战武器皮肤,橙品（S/SP）,付费,2024/05/21,2024/05/30,,,永久,500,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）近战武器皮肤,
紫色皮肤散件*1,2024 Paradox主题版本,1,,角色皮肤散件,紫品（A+）,付费,2024/05/21,2024/05/30,,,永久,400,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,紫品（A+）角色皮肤散件,
紫色武器抽奖箱*1,2024 Paradox主题版本,1,,武器抽奖宝箱,其他,付费,2024/05/21,2024/05/30,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
全新S级动作*2,2024 Paradox主题版本,2,全新S级动作不放回式抽奖，含兑换保底，期望值为70$,动作,橙品（S/SP）,付费,2024/05/21,2024/05/30,,,永久,500,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）动作,
10分钟：金币抽奖券*2,2024 Paradox主题版本,2,指定模式 10分钟,（黄色）常驻抽奖池1--抽奖券,其他,活跃,2024/05/22,2024/05/29,,,限时,0,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（黄色）常驻抽奖池1--抽奖券,
40分钟：钻石抽奖券*6,2024 Paradox主题版本,6,40分钟,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/05/22,2024/05/28,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
70分钟：钻石抽奖券*8,2024 Paradox主题版本,8,70分钟,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/05/22,2024/05/28,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（蓝色）常驻抽奖池2--抽奖券,
110分钟：武器抽奖券*10,2024 Paradox主题版本,10,110分钟,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/05/22,2024/05/28,,,限时,40,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（橙色）常驻3合1抽奖池--抽奖券,
30分钟：A级枪皮抽奖宝箱*2,2024 Paradox主题版本,2,30分钟,武器抽奖宝箱,其他,活跃,2024/05/22,2024/05/29,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
60分钟：S级造型抽奖宝箱*3,2024 Paradox主题版本,3,60分钟,皮肤抽奖宝箱,其他,活跃,2024/05/22,2024/05/29,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
2场：金币抽奖券*3,2024 Paradox主题版本,3,2场,（黄色）常驻抽奖池1--抽奖券,其他,活跃,2024/05/23,2024/05/27,,,限时,0,image.png,2024年年2季度,2024年,2024年5月,抽奖券类资源,5,其他（黄色）常驻抽奖池1--抽奖券,
5场：A级枪皮抽奖宝箱*2,2024 Paradox主题版本,2,5场,皮肤抽奖宝箱,其他,活跃,2024/05/23,2024/05/27,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
15场：武器抽奖券*10,2024 Paradox主题版本,10,15场,武器抽奖宝箱,其他,活跃,2024/05/23,2024/05/27,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他武器抽奖宝箱,
主题S级面饰*1,2024 Paradox主题版本,1,100钻石,角色皮肤散件,橙品（S/SP）,付费,2024/05/25,2024/06/01,,,永久,800,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）角色皮肤散件,
120分钟：A级手雷造型*1,2024 Paradox主题版本,1,120分,投掷品武器,蓝品（A）,活跃,2024/05/25,2024/05/26,,,永久,50,image.png,2024年年2季度,2024年,2024年5月,局内--中低价值外显资源,5,蓝品（A）投掷品武器,
钻石宝箱*1,2024 Paradox主题版本,1,50钻石,钻石抽奖盒,其他,付费,2024/05/25,2024/06/01,,,永久,25,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石抽奖盒,
30分钟：A级宠物造型套装抽奖宝箱*2,2024 Paradox主题版本,2,30分,皮肤抽奖宝箱,其他,活跃,2024/05/25,2024/05/26,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
75分钟：A级枪皮抽奖宝箱*3,2024 Paradox主题版本,3,75分,皮肤抽奖宝箱,其他,活跃,2024/05/25,2024/05/26,,,永久,40,image.png,2024年年2季度,2024年,2024年5月,盲盒类资源,5,其他皮肤抽奖宝箱,
钻石*12,2024 Paradox主题版本,12,充值24钻石,钻石,其他,付费,2024/05/25,2024/06/01,,,永久,1,image.png,2024年年2季度,2024年,2024年5月,,5,其他钻石,
橙色动作*1,2024 Paradox主题版本,1,全新代币放回式抽奖，含兑换保底，期望值为75$,动作,橙品（S/SP）,付费,2024/05/26,2024/06/03,,,永久,500,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）动作,
橙色近战武器*2,2024 Paradox主题版本,2,全新代币放回式抽奖，含兑换保底，期望值为75$,近战武器皮肤,橙品（S/SP）,付费,2024/05/26,2024/06/03,,,永久,500,image.png,2024年年2季度,2024年,2024年5月,局内--高价值外显资源,5,橙品（S/SP）近战武器皮肤,
30天限定语音*2,2024 Paradox主题版本,2,,语音包,紫品（A+）,活跃,2024/05/27,2024/06/02,,,限时,,image.png,2024年年2季度,2024年,2024年5月,局外社交外显资源,5,紫品（A+）语音包,
